lat,lon
40.736,-73.9998
40.7784,-73.9509
40.7177,-73.9838
40.7433,-73.9744
40.7159,-74.0107
40.757,-73.9743
40.7581,-73.9773
40.7397,-73.9984
40.7328,-73.9959
40.765,-73.9633
40.7654,-73.9634
40.736,-74.0059
40.7645,-73.9836
40.7201,-73.9874
40.7422,-74.0043
40.7454,-73.991
40.7438,-74.0065
40.7367,-73.9909
40.7511,-73.9807
40.751,-73.9739
40.7352,-73.9878
40.7739,-73.9546
40.7448,-73.9888
40.7559,-73.9908
40.7145,-74.0083
40.7531,-73.9878
40.7136,-74.0117
40.7361,-73.9981
40.7456,-73.9856
40.7312,-73.9918
40.776,-73.9572
40.7226,-74.0015
40.726,-74.0057
40.723,-73.9884
40.767,-73.9549
40.7737,-73.9538
40.7431,-74.0076
40.736,-73.9996
40.7572,-73.9819
40.7368,-74.0054
40.7218,-74.0053
40.719,-73.9889
40.7396,-74.0024
40.7613,-73.9681
40.754,-73.9935
40.7495,-73.9921
40.7225,-73.997
40.7778,-73.9617
40.7554,-73.9757
40.7524,-73.9818
40.7241,-73.9992
40.7556,-73.9835
40.7174,-74.0091
40.7482,-73.9887
40.7501,-73.9856
40.7202,-73.9845
40.7649,-73.9805
40.7329,-74.0075
40.7573,-73.9759
40.7242,-73.9877
40.7827,-73.9806
40.7568,-73.961
40.7058,-74.0095
40.7223,-73.9819
40.7536,-73.9732
40.7603,-73.9646
40.7191,-73.9915
40.7548,-73.9998
40.7646,-73.9661
40.7268,-74.0056
40.7092,-74.0055
40.7419,-74.0047
40.7329,-73.9999
40.7291,-74.0112
40.7596,-73.9847
40.7442,-73.9956
40.7483,-73.9859
40.7641,-73.9732
40.7401,-74.006
40.7668,-73.9871
40.7496,-73.9774
40.7093,-74.0135
40.7586,-73.9872
40.7421,-73.9985
40.7624,-73.99
40.7092,-74.0082
40.7226,-74.008
40.7252,-73.997
40.7423,-73.9848
40.7553,-73.9839
40.769,-73.9813
40.7623,-73.9862
40.7586,-73.9707
40.7225,-73.9825
